content,score,Label
parah sekarang ekspedisi nya di tentuin sama aplikasi kalo kita ganti gratis ongkir jadi ga bisa mana pas di tentuinnya ke JNE lagi dah tau suka lamaaaaa ngirim nya hadeuh sekalinya ada notif paket terkirim tp gua ga Nerima sama sekali di keterangan juga ga ada foto buktinya,1,Negatif
"Sebenarnya belanja di shoppe asik tapi masalah nya di pelacak pesanan terasa sulit karna tidak ada tertera nama dan no kurir yang mengantar kan paket, jadi ingin melacak paket yang sudah di kirim oleh penjual tidak tau",3,
Wow aplikasi ini sangat keren barangnya cepat sampai kurirnya ramah ramah seller nya baik baik semoga kalian semua dilancarkan rejekinya dan usahanya terimakasih shopeee...........................................................................................................................................................................................................................................................................................................................................,5,Positif
"Tolong tombol ""pesanan selesai"" jangan diaktifkan kalo pesanan belum sampai, karena saya sering salah pencet tombolnya padahal pesanan belum sampai/selesai Contoh tiktok kalo pesanan belum selesai belum bisa ngasih penilaian",1,Negatif
"Pengirimannya lama banget nyampenya mungkin gaji kurirnya terlambat, makanya ngirimnya juga lambat, paket gw udah 10 hari dari semenjak mesen, tpi smpe skrng ga nyampe², sampah bngt platform satu ini, mending mesen di platform lain👎👎",1,Negatif
"Pas email lupa nomer hp ilang kita mau ngerubah nomer telpon dan masuk ke akun susahnya minta ampun pdhl di aplikasi lain gak sesusah ini harus ini lah itulah pdhl kalo mau bukti itu akun kita beneran langsung aja verivikasi wajah ganti nomer dan langsung ganti sandi ini ribet banget sumpahh ,perbaiki deh harusnya sistemnya",2,
"Sudah dua hari, setiap buka aplikasi selalu ada pesan sistem sedang perbaikan...perbaikan kenapa sampai dua hari ...waduh kemana team ahlinya....apa sudah ngk dibayar...",5,Positif
"Males amat kasih bintang penuh , saya tpi tidak memilih expedisi, pling pake jnt udah ambil paket bayar jnt nggak mau nganter barang nya harus ngambil sendiri ke perwakilan jnt nya, rame2 yuk kasih bintang satu buat shopee, masa pembeli tidak bisa menentukan expedisi, kita pembeli kita yg bayar bukan elu",1,Negatif
"Tolong benerin login / reset password via nomor telepon, masa gak bisa ngurus gitu aja, buat apa ada fitur login atau lupa password tapi gak bisa di pake, pake fitur chat cs aja kagak jelas terus aja minta foto ktp sama selfie sambil pegang ktp, kagak bisa di proses karna user name nya beda, padahal sebelum nya udah bilang nick nya beda sama nama ktp Klo udah di benerin nanti kasih bintang 5",1,Negatif
Bintang 2 dulu. Mimin shoope tolong di bersihkan/blokir bnyk oknum Penjual online BODONG. Merugikan CS spt saya. Belanja selalu tdk sesuai Pesanan. Di Complain malah di blokir. Sm penjual nya. Terimakasih. Bila di respon. Saya kasih bintang 5 lagi,2,
"Order /pesan barang di shopee ,nasib2an ,kadang 2 bagus,sesuai dngn gambar/vidio, kadang2 jelek ,parah bngt,gk sesuai dngn gmbr,iklannya, bikin kecewa dan kapok.... Mohon kepada pihak shopee tingkatkan pengawasan ,disiplin ,dan bertindak tegas pd toko2 nakal dan yg suka membohongin para konsumen..... terimahkasih.",4,Positif
Iklannya mengganggu banget. Tiba2 buka aplikasi sendiri gara2 ada iklan. Sangat mengganggu. Ditambah lagi saat pencairan dana selalu stak di keamanan.,1,Negatif
"Boleh aja sih tapi banyak yg jualan TPI gak asli dan harga murah gak masuk akal terus yg di kirim palsu, saran tambahin foto yg mau di jual dri galeri, harus sama dengan yg di foto jika terdeteksi tidak sama, kanan,kiri,belakang maka penjualan di tolak, itusih aja aku saranin",5,Positif
"shopee skrng aneh, saldo isi 50rb barang harga 20rb gabisa pake metode bayar shopeepay, harganya juga berubah seenak jidat di tampilin harga sekian pas coba cek lebih mahal, bug juga saat pengiriman tiba tiba pesanan dah sampe padahall blm",1,Negatif
"Saya kecewa dengan shopee padahal sering melakukan pembelian, saat mengunakan voucher diskon, tapi tetep saja harganya tidak mau terpotong padahal masuk semua katagori payahh",1,Negatif
Belanja lebih mudah dan praktis. Tanpa keluar rumah. Tapi mohon di tingkat toko2 yg abal.abal yg tidak sesuai harap di hapus.,5,Positif
Shopee.. Kok aku gak bisa metode pembayaran ya.. COD gak bisa terus transfer via bank juga gak bisa.. Gimanaa dong gak bisa order,5,Positif
"Emang shopee mantap,tapi kalau kita pesan barang.ngantar barang seminggu baru nyampe apalagi sekitar Sumatra seminggu baru nyampe,kalau bisa kurir dipercepat ngantara barang jangan lama.",5,Positif
"Makin hari makin lelet dan lambat..juga udah macam pasar gengster banyak pungli nya klu mau belanja..jgn terlalu rakus semua pitur mau di jual,jadi aplikasi makin berat... Semoga difahami..🙏",2,
"""Sistem sedang mengalami gangguan, silahkan coba lagi"" Cape setiap login terus verifikasi gitu melulu, sudah berkali² di coba dan hasilnya sama aja. shope aneh²",1,Negatif
"Shopee udah gak bisa diharepin, dari segi hadiah boongan, aplikasi bermasalah, harga jual mahal, masuk aplikasi aja susahnya minta ampun, Enakan aplikasi sebelah, simple, gk nyusahin orang, masuk apikasi tanpa ada masalah",1,Negatif
"Kenyamanan berbelanja di Shopee memang menyenangkan! Selagi saya butuh barang mudah banget dan nggak ribet,pokoknya senang kendala sudah terbiasa sudah umum nya di online... Shopee semoga lancar berkah rezeki nya🥰",5,Positif
"Udh bagus.. Memudahkan qt berbelanja,, apa sjah.. Smga bs lebih baik. Lagi.. Alhamdulilah dpt kurir. Yg baik.. Toko yg amanah juga.. Tp syg.. Aq pernah cb pk spylater.. Susah. Entah pengaruh sinyal.. Atau apa...entahlah.. Tp selebih nya.. Oke..",5,Positif
"Aplikasi sangat luar biasa, ketika beli barang bisa pilih Jasa Pengiriman ke J&T Express tanpa ongkos kirim, tapi tolong fitur itu jangan di ubah lagi untuk pemilihan kurir yang lebih baik, tolong diperbaiki lagi dong pembayaran ShopeePay jangan di kenakan biaya penanganan harus gratis, jadi saya makin betah belanja di Shopee, dan Diskon harus banyak harganya harus murah dan gratis ongkir nya harus di perbanyak biar tambah semangat belanja nya, terima kasih... 👍",5,Positif
"Tolong untuk kurir spx bagian kecamatan mundu cirebn di perbaiki setidak nya kalo kurir tidak mau anter barang ya tidak usah kerja ! Yang aturan tanggal 31 sudah di sampe sampe tanggal 6 ini keterangan nya masih menunju alamat tujuan terus! Jadi saya nya males blja di shopee karena cara kerja kurir spx kurang baik kurang sopan jga, sudah tau cod tapi kadang malah ngajak ktmu di jalan dengan alesan tidak serarah !!! Sebelum ada kurir spx darin shopee aku seneng kalo balanja, tapi sekrng tidak!",1,Negatif
Alhamdulillah bersama shopy banyak terbantu dlm pembelanjaan yg di inginkan namun masih ada juga sih toko yg tidak amanah smg ke depan lebih amanah dan petugas tokonya betul2 mperperhatikan pesanan konsumen..,5,Positif
MP yg ga bs milih mau pake apa kirim2...pe giriman lemot.sicepat masih dipake dah tau lemot expedisinya...trs user ga bs milih mau pake apa expedisinya.aneh benerr kok dipiaraa orng bnyk komplain gitu.kl komplain cmn iya aja..kalian kok klaah sm expedisi.perusahaaan gede kok klh sm expedisi yg lemot masih dipake..,1,Negatif
"Ini aplikasi berat banget asli. UI dan UX-nya beneran jelek banget. Mau buka ajah loadingnya ngalahin game paling berat di mobile. Sampe kadang harus berdoa dulu sebelum checkout biar gak ada kendala apa2. Benerin lah, update mulu tapi gak pernah difix ini masalah.",1,Negatif
Saya sebagai seller kecewa + kesel! Kenapa sih kalau upload foto dan video produk lewat HP di Shopee resolusinya selalu di perkecil oleh Shopee jadinya buram! Tampilan produk jadi jelek kalau gini mah! Ayolah Shopee jangan kompres file yang kami upload gak papa size gede juga asal gambar yang kami upload itu jernih. Enak kalau yang punya laptop mah. Kami yang gak punya laptop merasa dirugikan kalau foto dan videon yang kami upload diturunin resolusinya!,1,Negatif
"Mau daftar aja ribet banget, udah masukin nomer hp, mesti masukin link email lagi, verifikasi ini verifikasi itu, kalo pake no hp ya no hp aja, mana sms sama telepon nya gak muncul-muncul dah 10 menit, ente niat bikin aplikasi gak sih?",4,Positif
Kenapa sekarang biaya ongkir nya harus di giring atau ada di indikasi mau di paksakan bayar melalui shopee paylater. Kalo pake COD ongkir nya mahaaaal... Bahkan ada toko yang tidak ada pillihan COD nya untuk pembayaran barang.,3,
"Aplikasi belanja online yang bagus dan baik, banyak voucher dan promo nya, tampilan juga lumayan enteng dan smooth, banyak fiturnya, banyak yang bisa dicari disana, keren deh shopee, semoga terud konsisten memanjakan pengguna nya dan semakin banyak promo nya",5,Positif
"padahal sudah bayar semuanya sudah clear gak ada tagihan apapun , kenapa spaylater saya di nonaktifkan sudah 5 bulan nunggu masih saja gabisa di pake shopee gajelass!!",1,Negatif
Sebenarnya sih suka belanja di shopee cuma saya benci shopee video yg ga ada hubungannya sama produk dan videonya kurang baik khususnua buat anak. Terlalu gampang ditonton anak-anak. Tolong adakan feature untuk mematikan dan menghidupkan shopee video,3,
Mohon maaf pihak shopee atas rating yang saya berikan tolong lain kali lebih di seleksi lagi untuk jasa pengiriman baru pertama kali ini pesanan saya belum tiba dan melebihi estimasi yang di tentukan setiap saya cek history pengiriman selalu tidak bergerak sedangkan yang lain menggunakan expedisi yang sama malah sudah dateng barang saya dan knpa pas beli velg motor barangnya tak kunjung datang dan pengiriman tidak bisa di tracking,1,Negatif
"Capek banget sama Shopee sekarang😥 Banyak biaya ini itu pas mau cekout, bukannya murah malah makin mahal. Itu juga Shopee Games, pemberian hadiahnya gak adil, kenapa selalu itu2 aja yang dapet. Akun ku setiap kali main Shopee Games selalu dikasih hadiah yang paling kecil. Sedih banget ,😭",1,Negatif
"aplikasinya sudah bagus, kekurangannya hanya di fitur ""lacak pesanan"" yang lokasi pengantarnya di fitur tersebut tidak akurat dengan lokasi sesungguhnya, saya sudah clear chace dan update namun sama saja, overall ini aplikasi perfect kalo fitur ""lacak pesanan"" diperbaiki",4,Positif
"Gamenya buat boring, main pakai iklan agar dapat diputar hasil yang di putar sama gambar sama. Percuma begadang main game gak dapat faedah. Yang didapat coint perak, berharap hadiah zonk. Makasih deh buat shopee. Jujur Applikasi makin berat.",2,
"Tolong dong makin di bagusin sistem nya!!,kurir harus nya ada chat dulu kita ada persiapan kalo kita keluar Mala kerumah tiba tiba dirumah kita gaada nyalahin kita!!! Tapi chat gaada harus nya ada dong!!! YANG LEBIH BURUK KURIR DIINFORMASI SIANG UDAH DAPET INI ISYA LOH TOLONG BENERIN!!!!!",3,
"Tolong ya buat divisi yang nagih2 tuh kalo bicara seenggaknya yang sopan dan ga lancang namanya FITA, shopee attitude timnya tolong di perbaiki mengingatkan nagih boleh tapi juga pake bahasa yang sopan, thnks",1,Negatif
"Untuk urusan belanja saya suka pakai shopee. Tapi untuk SPinjam, proses terlalu lama. Sudah daftar dan acc. Tapi setelah beberapa hari, saya baru mencoba mengajukan pinjaman tgl 5 jam 7 pagi, diproses 1-3 hari jam kerja, dan dihitung jatuh tempo tanggal 5 bulan depannya, tapi hingga malan belum juga cair dan masih dalam proses.. Proses terlalu lama, kalah jauh dengan pinjaman online yang hanya hitungan jam bahkan menit bisa langsung cair.",3,
"Aplikasi yg sangat memudahkan kita berbelanja apa saja sesuai kebutuhan, cukup berbelanja di rumah barang dah nyampai. banyak pilihan2 toko online yg amanah. Buat saya Shopee top top markotop. Jangan pernah ragu belanja di Shopee trimakasih",5,Positif
Aplikasinya yang sangat keren. Cepat respon dari toko dan cpat pengiriman. Nya Pokokx lumayan bagus lahh ad juga promo☺️,5,Positif
"tolong shoppe bisa blacklist pengiriman dari sicepat namanya aja sicepat tapi pengiriman lelet paket dari kabupaten yang sama tapi udah 3 hari belum nyampe,sedangkan paket nya cepet² mau dipakek tolong beri kenyamanan customer",4,Positif
"App olshop paling aneh, kebijakan suka berubah-ubah tergantung mood petinggi. Benerin ketentuan livenya, mau wajah keliatan atau nggak itu nggak berpengaruh ke audience. Yang ada makin marak setelah ini kasus pencurian video orang live lagi kek dulu",1,Negatif
"Kebanyakan biaya ini itu, biaya penanganan lah, biaya ini lah, biaya itulah makin hari makin banyak aja potongananya belum lg voucher yg diberikan sudah gk relate lagi hampir tak ada gunanya voucher yg diberikan",1,Negatif
"Saya usul terkait fitur chat, mohon ditambah fitur panggilan & disertakan nomer handphone yg tertera di fitur chat seperti fitur Whatsapp si penjual jadi ketika tidak ada cocok / sesuai kita bisa menghubungi si penjual secara langsung",3,
Untuk paket pesanan hari ini saya puas karena walupun nilai barang/uang yang relatif sangat murah tetap mau melayani dan bebas ongkir lagi. Salut buat shopee 11.11 semoga terus amanah juga buat tokonya,5,Positif
"Dari semua aplikasi belanja ,ini yang paling lemot di hp ku 😅, lumayan bisa nahan2 belanja. Sering gak jadi cek out karena aplikasi muter2 terus , pertahankan bagian IT nya 👍👍good job",3,
"belanja makin mudah..cuma kadang masih ada saja yg sering nelpon ngaku""dari shopee.trus minta kode otp..kok bisa yah?tolong di perhatikan lagi yg seperti ini.trima kasih",5,Positif
"Kak tolong d aktifkan lg toko luar negeri nya seperti china dan yg lain nya, karena kalau saya cari sparepart elektronik susah kalau tergantung toko lokal, produk yg kita cari ngk ada, dulu mah enak waktu bisa impor",4,Positif
"Tidak ada kebijakan terhadap kasus penipuan akun saya yang kena peretasan yg dimana sy dirugikan dsini trus sy lagi yang mau bayar semua utang itu penipu, saya merasa kecewa dengan pelayanan dan kebijakannya dalam membantu customer yg kena kasus penipuan. Dan saya sudah pengajuan bnyk kali terhadap solusi pembyaran sy harusnya dihapuskan yang msuk Krn bukan sy yang ambil barangnya, tapi tetap saya ditagihkan dan sy yang harus tanggung jawab, dimna kebijakannya ini akun Shoppee indonesiaaaaaaaa,",1,Negatif
"semua bagus kecuali jasa kirim!!! SPX Lelet gak karuan, mending balikin pake J&T kek dulu gosa maksa bikin expedisi sendiri. ampas banget jkt bali nyampe lebih dari seminggu",1,Negatif
"Alhamdulillah sekarang ada fitur pilihan kurir dan ubah jasa kirim spesifik, ongkir diluar pulau Jawa kayak saya jadi murah kadang 1.500 kadang 0😭 padahal dulu ongkir nya bisa sampe 42rb, dipotong pun masih sisa 22rb. Semoga terus seperti ini yaa, membantu banget buat saya yang jualan online😍😍😍",5,Positif
Belanja di shopee gak nyesel ..saya bisa beli apa saja dan saya bisa meraih keuntungan di dalamnya barang yang dibeli selalu sesuai harapan dan respon sangat bagus terhadap konsumen...enggak ragu lagi untuk belanja semua kebutuhan dan semua kebutuhan yang disesuaikan dengan kantong dan disesuaikan dengan kemampuan semua harga ada semua kualitas ada...yang bermerk yang branded ada barang yang tidak sesuai pesanan bisa dikembalikan dan bisa diretur sehingga kita berasa aman....bisa COD dan sampai,5,Positif
"Sore shoppe, saya pesan barang bayar pake splater, terkonfirmasi barang sudah di terima, tapi saya tidak menerima barangnya, jasa kirim pake antaraja, saya coba hubungi antaraja via wa, ternyata ada nomer lain menghubungi saya katanya tim dari antaraja, setelah komunikasi2 ujungnya saya d suruh aktifkan Spinjam, setelah saya bilang ini penipuan yaa, langsung di matikan via telpon nya. Bagaimana ini solusinya? Masak perusahaan besar begini pake jasa kirim gak jelas,..",1,Negatif
"Aplikasi ini sangat baik digunakan utk belanja online, barang² yang tersedia dan dijual di aplikasi ini terpercaya, sudah banyak barang yang saya beli dan sampai belum ada masalah. Aplikasi shopee is the best",5,Positif
"Terkadang puas berbelanja di shopee. Tapi terkadang juga sangat mengecewakan karena banyak toko yg jualan hanya untuk tipu tipuan. Pesanan harga 1 juta misalnya, tapi yg dikirim malah seharga puluhan ribu",4,Positif
"Udah pake shopee 8 tahun, sekarang kecewa banget sama pelayanan shopee. Pengajuan barang dan dana saya diprosesnya lama. Udah hampir seminggu masih nunggu konfirmasi dari penjual, udah jelas penjual udah nerima barangnya udah di cek. Padahal dari awal penjual ngirim barang gasesuai, bukti udah dijelaskan sejelas jelasnya di fitur diskusi shopee. Gatau sampe kapan deh ini admin shopee nunggu penjual buat konfirmasi. Sebagai konsumen shopee merasa kecewa dan dirugikan sekali.",1,Negatif
"Aplikasi belanja yg mudah,simple dan praktis.... Pengiriman jg cepat.... Trimakasih shopee....",5,Positif
"parah keterangan diaplikasinya sudah sampai tp nyatanya tidak ada, pihak kurir selalu cancel sampe 2 minggu, tidak bisa pengembalian dana. gimana ini kebijakan perusahaan kok tidak konsisten. Dasar shopee penipu.",1,Negatif
"Sekarang pengiriman nya lelet banget,.. Mana di tambah biaya layanan lah, biaya penanganan lah, belom lagi ongkir,, App nya juga berat, boros batre",1,Negatif
"Udh 3x coba spinjam tp tetep gabisa dibilang data saya palsu, kalau palsu spaylayer saya ga akan bisa, udh 3x percobaan masi gabisa juga aneh.",1,Negatif
"ga bakal lagi pake spaylater. limit 17ribu, ada tanggungan 703ribu sudah saya bayar, tapi limitnya cuma kembali jadi 509ribu.. katanya limit bakal di balikin, eh malah ada sangkut pautnya limit dari tahun 2022 😏 padahal saya rutin bayar spaylater. mohon maaf, saya tidak suka memakai aplikasi yang korupsi.",1,Negatif
"Saya sangat puas dengan aplikasi ini,sudah bertahun2 saya belanja di aplikasi ini,tp akhir2 ini yang bikin saya kecewa tentang kurir SPX yg tidak pernah mengirim paket ke perkampungan,padahal sudah dikasih alamat,tapi maunya paket di jemput di tempat tertentu,tolong pihak shopee untuk edukasi para kurir untuk mengirim paket sampai alamat tujuan,kemarin paket saya dibatalkan oleh kurir sepihak tanpa izin saya,hanya karena saya minta paket untuk dikirim ke alamat saya,tapi kurir maunya ketemuan",1,Negatif
"Ini kenapa tiba² semua produk tidak bisa cod dah😭,,padahal sebelumnya bisa. Tolong dong min kalau ini bug atau gimana dibenerin dulu deh,udah mau 11.11 loh😥",2,
"Untuk admin shopee tolong lebih di cek dan di teliti lagi untuk toko toko online shopenya saya baru ja ketipu toko skincare yang datang tidak sesuai dengan yang di order, sekarang masih proses pengembalian dana semoga cpt diACC dana saya cepat balik",2,
"Beli barang non cod, paket dikirim menggunakan shoppe express. paket sudah 4 hari di kota tujuan, tidak ada update status. Giliran status terupdate langsung dikembalikan ke pengirim. Kalau tidak mau kirim barang mending jangan diambil barangnya kasian penjual dan pembelinya dipermainkan. LAYANAN PENGIRIMAN TERBURUK",1,Negatif
"Kenapa setiap klik bayar muncul halaman .... sedang downloading... kami sedang memuat fitur, mohon tunggu sebentar... Padahal udah deposit di shopeepay.. ga bisa belanja... parah shopee sekarang Tp ditunggu seharian tetep 0% downloadnya.. Sebelumnya udah update dan clear chace tp tetep mohon tunggu downloading... Baru setelah direspon pengembang bisa lancar transaksinya, tp trima kasih respon cepatnya... Bintang dah saya kembalikan jd 5 bintang, trimakasih",5,Positif
"Setiap tambahkan video di produk selalu susah bahkan tidak bisa, beberapa lama begini????? disuruh hapus chache dan log out dan log in kembali, saya sdh lakukan berulang-ulang tanpa diberitahu tp tetap tidak bisa tambahkan video di produk saya. Tidak ada penyelesaian. Belum lagi biaya admin yg tinggi membuat seller menaikan harga produk, itu juga membuat produk susah untuk dijual.",1,Negatif
"Aplikasi berat, iklan ganggu, UI/UX sampah, semua pop up lo direct ke aplikasi, developer tolol",1,Negatif
Spx ancur barang sudah sampai di satu kabupaten hanya beda kecamatan tp di kembalikan lagi ke luar kota baru di kirim lagi ketempat tujuan bisa molor sampai 2 3 hari padahal dari kecamatan 1 ke kecamatan 2 ini jaraknya tidak sampai 20menit tp kenapa di oper sampai luar kota dulu sudah 3x kejadian begini tolong di perbaiki,1,Negatif
Hadirnya shopee sangat bagus tapi pengantarannya tidak semua di antar ke alamat tujuan pada hal ongkir kurirnya tetap di bayar rp.10.000 satu kali antar paket bukanbkah kita sudah mendapatkan potongan ongkir di saat awal transaksi pembelian,5,Positif
"aplikasi yang bagus promo selalu ada di setiap bulannya dan kualitas barang yang dijual oleh tokoh tokoh juga bagus bagus mempermudah yang tinggal di plosok"" untuk mendapatkan barang terbaru di medsos",5,Positif
"Gimna sii harga 10 ribu tapi bisa jdi 36 ribu ongkir nya tolong dong jagan kemahalan ongkir sama harga ga sesuai apalagi barang cumn satu,, dan warna juga gabis di tambah warna lain tolong di ubah dong",1,Negatif
"Tolong diperbaiki aplikasinya 🙏, setelah diupdate jadi ga bisa dipakai, aplikasinya nutup sendiri terus, aplikasi yang lain ga ada masalah",1,Negatif
"Parah bgt shopee, masak yg COD bisa pilih kurir sedangkan yg bayar cash di atur oleh sistem kurirnya,, udah gitu dikasih kurir yg lama, males bgt klk dapat anter aja, sicepat, dan id expres Paling enak kurirnya J&T dan shopeeXpres,,, sebaiknya berhenti aja kerja sama dg kurir yg lelet...",1,Negatif
"Kenapa sekarang makin aneh, voucher saya tiba2 hilang gk tau kenapa padahal saya belum co apapun aneh sekali, tolong diperbaiki, ini sangat merugikan, trus proses skrng lama juga",1,Negatif
"Saya sangat suka dengan aplikasi Shopee kalau ada kendala pengiriman langsung di respon dan di kasih solusinya, tapi yang bikin sangat- sangat saya menjengkelkan adalah kurir nya, kurirnya seperti kurang frofesional dalam menjalankan tugasnya saya lebih suka menyebut kurir nya seperti orang hutan yg sangat tidak ramah",1,Negatif
