content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo,textblob_polarity,textblob_sentiment
Sebenarnya sangat bagus ini aplikasi mudah dipake hanya saja tolong seleksi dgn benar ketika memilih kurir kalau ndk sanggup antar barang sampai alamat tujuan dipecat sj kurirnya berhubung disitu sdh tertera ongkirnya sekian sampai alamat tujuan yg qt bayar malah dsuruh jemput,3,,sebenarnya sangat bagus ini aplikasi mudah dipake hanya saja tolong seleksi dgn benar ketika memilih kurir kalau ndk sanggup antar barang sampai alamat tujuan dipecat sj kurirnya berhubung disitu sdh tertera ongkirnya sekian sampai alamat tujuan yg qt bayar malah dsuruh jemput,bagus aplikasi mudah dipake tolong seleksi dgn memilih kurir ndk sanggup barang alamat tujuan dipecat sj kurirnya berhubung disitu sdh tertera ongkirnya sekian alamat tujuan yg qt bayar dsuruh jemput,"['bagus', 'aplikasi', 'mudah', 'dipake', 'tolong', 'seleksi', 'dgn', 'memilih', 'kurir', 'ndk', 'sanggup', 'barang', 'alamat', 'tujuan', 'dipecat', 'sj', 'kurirnya', 'berhubung', 'disitu', 'sdh', 'tertera', 'ongkirnya', 'sekian', 'alamat', 'tujuan', 'yg', 'qt', 'bayar', 'dsuruh', 'jemput']",bagus aplikasi mudah dipake tolong seleksi dgn pilih kurir ndk sanggup barang alamat tuju pecat sj kurir hubung situ sdh tera ongkirnya sekian alamat tuju yg qt bayar dsuruh jemput,0.0,Netral
"Bintang saya kurangi 2..... Di karenakan, pengiriman pihak jasa ekspedisi yang makin ke sini makin lama...... Bisa sampai 2 hingga 4 hari. Di khawatirkan, terjadi kerusakan nantinya di pesanan paket jika harus berlama lama di jalan atau di tempat ekspedisi transit........ 😞😞 Bila ada perkembangan dalam waktu dekat prihal ekspedisi, untuk bintang akan di tambahkan kembali.",3,,bintang saya kurangi  di karenakan pengiriman pihak jasa ekspedisi yang makin ke sini makin lama bisa sampai  hingga  hari di khawatirkan terjadi kerusakan nantinya di pesanan paket jika harus berlama lama di jalan atau di tempat ekspedisi transit  bila ada perkembangan dalam waktu dekat prihal ekspedisi untuk bintang akan di tambahkan kembali,bintang kurangi karenakan pengiriman jasa ekspedisi khawatirkan kerusakan pesanan paket berlama jalan ekspedisi transit perkembangan prihal ekspedisi bintang tambahkan,"['bintang', 'kurangi', 'karenakan', 'pengiriman', 'jasa', 'ekspedisi', 'khawatirkan', 'kerusakan', 'pesanan', 'paket', 'berlama', 'jalan', 'ekspedisi', 'transit', 'perkembangan', 'prihal', 'ekspedisi', 'bintang', 'tambahkan']",bintang kurang karena kirim jasa ekspedisi khawatir rusa pesan paket lama jalan ekspedisi transit kembang prihal ekspedisi bintang tambah,0.0,Netral
"Mantap lah pokoknya.... Proses cepat, penjual yg ramah cepat sampai, penjual yg kurang ramah terkadang sampai 2-3 hari... Overall banyak yg ramah",5,Positif,mantap lah pokoknya proses cepat penjual yg ramah cepat sampai penjual yg kurang ramah terkadang sampai  hari overall banyak yg ramah,mantap pokoknya proses cepat penjual yg ramah cepat penjual yg ramah terkadang overall yg ramah,"['mantap', 'pokoknya', 'proses', 'cepat', 'penjual', 'yg', 'ramah', 'cepat', 'penjual', 'yg', 'ramah', 'terkadang', 'overall', 'yg', 'ramah']",mantap pokok proses cepat jual yg ramah cepat jual yg ramah terkadang overall yg ramah,0.0,Netral
"Login keamanan Gak jelas, verifikasi 3 sampai 4 kali lewat link verif lewat WhatsApp setelah di klik link verifikasinya malah kembali ke tampilan awal login aplikasi, blm masuk masuk juga ke akun shopee saya",1,Negatif,login keamanan gak jelas verifikasi  sampai  kali lewat link verif lewat whatsapp setelah di klik link verifikasinya malah kembali ke tampilan awal login aplikasi blm masuk masuk juga ke akun shopee saya,login keamanan gak verifikasi kali link verif whatsapp klik link verifikasinya tampilan login aplikasi blm masuk masuk akun shopee,"['login', 'keamanan', 'gak', 'verifikasi', 'kali', 'link', 'verif', 'whatsapp', 'klik', 'link', 'verifikasinya', 'tampilan', 'login', 'aplikasi', 'blm', 'masuk', 'masuk', 'akun', 'shopee']",login aman gak verifikasi kali link verif whatsapp klik link verifikasi tampil login aplikasi blm masuk masuk akun shopee,0.0,Netral
"Aku sih suka belanja apa aja, tapi males banget keluar rumah. Nggak suka ribet bawa-bawa barang juga. Pergi sih oke, tapi kalo jalan-jalan atau makan aja. Makanya aku suka banget belanja di Shopee, praktis dan gampang!",5,Positif,aku sih suka belanja apa aja tapi males banget keluar rumah nggak suka ribet bawabawa barang juga pergi sih oke tapi kalo jalanjalan atau makan aja makanya aku suka banget belanja di shopee praktis dan gampang,sih suka belanja aja males banget rumah nggak suka ribet bawabawa barang pergi sih oke kalo jalanjalan makan aja suka banget belanja shopee praktis gampang,"['sih', 'suka', 'belanja', 'aja', 'males', 'banget', 'rumah', 'nggak', 'suka', 'ribet', 'bawabawa', 'barang', 'pergi', 'sih', 'oke', 'kalo', 'jalanjalan', 'makan', 'aja', 'suka', 'banget', 'belanja', 'shopee', 'praktis', 'gampang']",sih suka belanja aja males banget rumah nggak suka ribet bawabawa barang pergi sih oke kalo jalanjalan makan aja suka banget belanja shopee praktis gampang,0.0,Netral
Saya sudah menggunakan Shopi selama 2 tahun dan bagus murah amanah wajib download rekomendasi ayo download banyak barang bagus + murah dan banyak diskon.,5,Positif,saya sudah menggunakan shopi selama  tahun dan bagus murah amanah wajib download rekomendasi ayo download banyak barang bagus  murah dan banyak diskon,shopi bagus murah amanah wajib download rekomendasi ayo download barang bagus murah diskon,"['shopi', 'bagus', 'murah', 'amanah', 'wajib', 'download', 'rekomendasi', 'ayo', 'download', 'barang', 'bagus', 'murah', 'diskon']",shopi bagus murah amanah wajib download rekomendasi ayo download barang bagus murah diskon,0.0,Netral
"Kemaren pengiriman barang lama di proses, setelah aku liat tgl 4 nov dah di kirim barang sudah kekota tujuan tgl 6 sama mau ketempat transit, tapi pas kuliat lagi pelacakan paket kok barang masih cekarang jam 6 sore tambah estimasi sampai berubah dari tgl 7-8 berubah lagi estimasinya jadi tgl 10 nov - 11 nov, dah konsultasi ke ig, tolong di perbaiki proses pengiriman barang, dulu 2 hari dah sampai skerang lebih",1,Negatif,kemaren pengiriman barang lama di proses setelah aku liat tgl  nov dah di kirim barang sudah kekota tujuan tgl  sama mau ketempat transit tapi pas kuliat lagi pelacakan paket kok barang masih cekarang jam  sore tambah estimasi sampai berubah dari tgl  berubah lagi estimasinya jadi tgl  nov   nov dah konsultasi ke ig tolong di perbaiki proses pengiriman barang dulu  hari dah sampai skerang lebih,kemaren pengiriman barang proses liat tgl nov dah kirim barang kekota tujuan tgl ketempat transit pas kuliat pelacakan paket barang cekarang jam sore estimasi berubah tgl berubah estimasinya tgl nov nov dah konsultasi ig tolong perbaiki proses pengiriman barang dah skerang,"['kemaren', 'pengiriman', 'barang', 'proses', 'liat', 'tgl', 'nov', 'dah', 'kirim', 'barang', 'kekota', 'tujuan', 'tgl', 'ketempat', 'transit', 'pas', 'kuliat', 'pelacakan', 'paket', 'barang', 'cekarang', 'jam', 'sore', 'estimasi', 'berubah', 'tgl', 'berubah', 'estimasinya', 'tgl', 'nov', 'nov', 'dah', 'konsultasi', 'ig', 'tolong', 'perbaiki', 'proses', 'pengiriman', 'barang', 'dah', 'skerang']",kemaren kirim barang proses liat tgl nov dah kirim barang kota tuju tgl tempat transit pas liat lacak paket barang cekarang jam sore estimasi ubah tgl ubah estimasi tgl nov nov dah konsultasi ig tolong baik proses kirim barang dah skerang,0.0,Netral
Shopee sngt bagus dan keren. Untuk belanja barang yg diinginkan beragam dan bnyk pilihan. Dan pengirimannya sllu tepat waktu. Sy suka dengan shopee,5,Positif,shopee sngt bagus dan keren untuk belanja barang yg diinginkan beragam dan bnyk pilihan dan pengirimannya sllu tepat waktu sy suka dengan shopee,shopee sngt bagus keren belanja barang yg beragam bnyk pilihan pengirimannya sllu sy suka shopee,"['shopee', 'sngt', 'bagus', 'keren', 'belanja', 'barang', 'yg', 'beragam', 'bnyk', 'pilihan', 'pengirimannya', 'sllu', 'sy', 'suka', 'shopee']",shopee sngt bagus keren belanja barang yg agam bnyk pilih kirim sllu sy suka shopee,0.0,Netral
"Kurir shoppe Express paling nyebelin, gak jelas banget. Infonya barang sedang dalam pengantaran, tp disuruh ngambil ke Outletnya. Batas pengambilan 3 Hari, meskipun sudah bayar setelah lewat 3 Hari barang dikembalikan. Mana lokasinya jauh banget. Ekspedisi paling Buruk",1,Negatif,kurir shoppe express paling nyebelin gak jelas banget infonya barang sedang dalam pengantaran tp disuruh ngambil ke outletnya batas pengambilan  hari meskipun sudah bayar setelah lewat  hari barang dikembalikan mana lokasinya jauh banget ekspedisi paling buruk,kurir shoppe express nyebelin gak banget infonya barang pengantaran tp disuruh ngambil outletnya batas pengambilan bayar barang dikembalikan lokasinya banget ekspedisi buruk,"['kurir', 'shoppe', 'express', 'nyebelin', 'gak', 'banget', 'infonya', 'barang', 'pengantaran', 'tp', 'disuruh', 'ngambil', 'outletnya', 'batas', 'pengambilan', 'bayar', 'barang', 'dikembalikan', 'lokasinya', 'banget', 'ekspedisi', 'buruk']",kurir shoppe express nyebelin gak banget info barang antar tp suruh ngambil outletnya batas ambil bayar barang kembali lokasi banget ekspedisi buruk,0.0,Netral
"Setelah update bulan ini, kok ketika COD tidak dapat potongan ongkir. Padahal untuk saya di desa lebih mudah COD. Tp karena gak dapat potongan ongkir nya jadi mahal.",4,Positif,setelah update bulan ini kok ketika cod tidak dapat potongan ongkir padahal untuk saya di desa lebih mudah cod tp karena gak dapat potongan ongkir nya jadi mahal,update cod potongan ongkir desa mudah cod tp gak potongan ongkir nya mahal,"['update', 'cod', 'potongan', 'ongkir', 'desa', 'mudah', 'cod', 'tp', 'gak', 'potongan', 'ongkir', 'nya', 'mahal']",update cod potong ongkir desa mudah cod tp gak potong ongkir nya mahal,0.0,Netral
"Sudah bagus shopee sebelum nya tapi yg sekarang sy mengeluh karna kalau ada notifikasi iklan shopee langsung kebuka aplikasi nya tanpa di klik walaupun lagi buka aplikasi lain,tolong shopee jadi perhatian hal ini untuk di rubah",5,Positif,sudah bagus shopee sebelum nya tapi yg sekarang sy mengeluh karna kalau ada notifikasi iklan shopee langsung kebuka aplikasi nya tanpa di klik walaupun lagi buka aplikasi laintolong shopee jadi perhatian hal ini untuk di rubah,bagus shopee nya yg sy mengeluh karna notifikasi iklan shopee langsung kebuka aplikasi nya klik buka aplikasi laintolong shopee perhatian rubah,"['bagus', 'shopee', 'nya', 'yg', 'sy', 'mengeluh', 'karna', 'notifikasi', 'iklan', 'shopee', 'langsung', 'kebuka', 'aplikasi', 'nya', 'klik', 'buka', 'aplikasi', 'laintolong', 'shopee', 'perhatian', 'rubah']",bagus shopee nya yg sy keluh karna notifikasi iklan shopee langsung buka aplikasi nya klik buka aplikasi laintolong shopee perhati rubah,0.0,Netral
"Ubah ekspedisi nya, barang dalam pengantaran tapi lama sekali, saya tunggu sampe beberapa hari, tiba waktu harinya tiba tiba di ubah tanggal sepihak, harus nya datang tanggal 6 tiba tiba diubah tanggal 8,Kita juga butuh barangnya, udah di tunggu buat barangnya dipake malah di kecewain begini, saya sudah seneng barang sampe malah kecewa ama ekspedisi nya,dari pagi sampe malam stuck di status pengantaran dan kurir nya di situ situ saja",1,Negatif,ubah ekspedisi nya barang dalam pengantaran tapi lama sekali saya tunggu sampe beberapa hari tiba waktu harinya tiba tiba di ubah tanggal sepihak harus nya datang tanggal  tiba tiba diubah tanggal kita juga butuh barangnya udah di tunggu buat barangnya dipake malah di kecewain begini saya sudah seneng barang sampe malah kecewa ama ekspedisi nyadari pagi sampe malam stuck di status pengantaran dan kurir nya di situ situ saja,ubah ekspedisi nya barang pengantaran tunggu sampe harinya ubah tanggal nya tanggal diubah tanggal butuh barangnya udah tunggu barangnya dipake kecewain seneng barang sampe kecewa ama ekspedisi nyadari pagi sampe malam stuck status pengantaran kurir nya situ situ,"['ubah', 'ekspedisi', 'nya', 'barang', 'pengantaran', 'tunggu', 'sampe', 'harinya', 'ubah', 'tanggal', 'nya', 'tanggal', 'diubah', 'tanggal', 'butuh', 'barangnya', 'udah', 'tunggu', 'barangnya', 'dipake', 'kecewain', 'seneng', 'barang', 'sampe', 'kecewa', 'ama', 'ekspedisi', 'nyadari', 'pagi', 'sampe', 'malam', 'stuck', 'status', 'pengantaran', 'kurir', 'nya', 'situ', 'situ']",ubah ekspedisi nya barang antar tunggu sampe hari ubah tanggal nya tanggal ubah tanggal butuh barang udah tunggu barang dipake kecewain neng barang sampe kecewa ama ekspedisi nyadari pagi sampe malam stuck status antar kurir nya situ situ,0.0,Netral
"Banyak bonus nya , sangat bermanfaat bagi sy yg stay dirumah dlm bidang otomotif dan fashion jdi tidak perlu repot pergi kluar rumah buat cari barang2 yg kita inginkan",5,Positif,banyak bonus nya  sangat bermanfaat bagi sy yg stay dirumah dlm bidang otomotif dan fashion jdi tidak perlu repot pergi kluar rumah buat cari barang yg kita inginkan,bonus nya bermanfaat sy yg stay dirumah dlm bidang otomotif fashion jdi repot pergi kluar rumah cari barang yg,"['bonus', 'nya', 'bermanfaat', 'sy', 'yg', 'stay', 'dirumah', 'dlm', 'bidang', 'otomotif', 'fashion', 'jdi', 'repot', 'pergi', 'kluar', 'rumah', 'cari', 'barang', 'yg']",bonus nya manfaat sy yg stay rumah dlm bidang otomotif fashion jdi repot pergi kluar rumah cari barang yg,0.0,Netral
"aplikasi nya bagus cuma Shopee food sekarang kenapaa yaa sering double order, jdi waktu pengantaran nya lebih lama untuk sampai ke tujuan.",5,Positif,aplikasi nya bagus cuma shopee food sekarang kenapaa yaa sering double order jdi waktu pengantaran nya lebih lama untuk sampai ke tujuan,aplikasi nya bagus shopee food kenapaa yaa double order jdi pengantaran nya tujuan,"['aplikasi', 'nya', 'bagus', 'shopee', 'food', 'kenapaa', 'yaa', 'double', 'order', 'jdi', 'pengantaran', 'nya', 'tujuan']",aplikasi nya bagus shopee food kenapaa yaa double order jdi antar nya tuju,0.0,Netral
"System pengiriman barang kePapua Selatan sangat lama,tidak seperti dulu 5 - 9hari sudah sampai, sekarang sudah estimasinya lama barang sudah lama melewati estimasi juga belum sampai, maaf kalau ratingnya tak kasih turun🙏🏻🙏🏻🙏🏻🥱🥱🥱 kembalikan seperti shopee yang dulu yang banyak pilihan jasa pengiriman... SPX lelet...paket selalu diretun alias gak pernah sampai,dana retun gak pernah balik,😭😭😭buang² waktu!!! jadi malas belanja disini....😭😭🌹",1,Negatif,system pengiriman barang kepapua selatan sangat lamatidak seperti dulu   hari sudah sampai sekarang sudah estimasinya lama barang sudah lama melewati estimasi juga belum sampai maaf kalau ratingnya tak kasih turun kembalikan seperti shopee yang dulu yang banyak pilihan jasa pengiriman spx leletpaket selalu diretun alias gak pernah sampaidana retun gak pernah balikbuang waktu jadi malas belanja disini,system pengiriman barang kepapua selatan lamatidak estimasinya barang melewati estimasi maaf ratingnya kasih turun kembalikan shopee pilihan jasa pengiriman spx leletpaket diretun alias gak sampaidana retun gak balikbuang malas belanja,"['system', 'pengiriman', 'barang', 'kepapua', 'selatan', 'lamatidak', 'estimasinya', 'barang', 'melewati', 'estimasi', 'maaf', 'ratingnya', 'kasih', 'turun', 'kembalikan', 'shopee', 'pilihan', 'jasa', 'pengiriman', 'spx', 'leletpaket', 'diretun', 'alias', 'gak', 'sampaidana', 'retun', 'gak', 'balikbuang', 'malas', 'belanja']",system kirim barang kepapua selatan lamatidak estimasi barang lewat estimasi maaf ratingnya kasih turun kembali shopee pilih jasa kirim spx leletpaket diretun alias gak sampaidana retun gak balikbuang malas belanja,0.0,Netral
"Udah semakin jelek apk ini, pesanan belum sampai suda bisa tekan selesai. Giliran kita salah tekan lngsung selesai. Mau minta pengembalian malah di tolak shopee. Kurirnya juga nggak ramah....Udah gak jelas apk in😡",1,Negatif,udah semakin jelek apk ini pesanan belum sampai suda bisa tekan selesai giliran kita salah tekan lngsung selesai mau minta pengembalian malah di tolak shopee kurirnya juga nggak ramahudah gak jelas apk in,udah jelek apk pesanan suda tekan selesai giliran salah tekan lngsung selesai pengembalian tolak shopee kurirnya nggak ramahudah gak apk in,"['udah', 'jelek', 'apk', 'pesanan', 'suda', 'tekan', 'selesai', 'giliran', 'salah', 'tekan', 'lngsung', 'selesai', 'pengembalian', 'tolak', 'shopee', 'kurirnya', 'nggak', 'ramahudah', 'gak', 'apk', 'in']",udah jelek apk pesan suda tekan selesai gilir salah tekan lngsung selesai kembali tolak shopee kurir nggak ramahudah gak apk in,0.0,Netral
